description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
"PACKING MATERIAL :-PAPER & PAPPER BOARD (GSM 150 TO 350)(LDPE/HDPE/PP) AS PER PACKING POLICY. (IMPORT OF LACTOSE / MANNITOL / SODIUM SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AGAINST IMPORTS ITEMS No. 2, as per pol",48000000,E5,1,18500.000,0.00,0310689065,"HDPE, LDPE, PAPER BOARD, PP",
packing material (ldpe/hdpe/pp),39011090,E5,1,37044.020,0.00,0310729706,"HDPE, LDPE, PP",
LDEP,,E5,1,15868.840,0.00,3010094072,LDPE,
paper & paper board (100 to 300 gsm),,E5,1,16371.630,0.00,3010094072,PAPER BOARD,
relevant food colour,39139030,E5,1,0.000,0.00,3010094879,FOOD COLOUR,
Leavening Agent :- i) Following biscuits additives & ingredients. (Sr. No 04 to 11) THE CIF VALUE OF INPUT SL.NO. 4 TO 11 SHALL NOT EXCEED 10% OF THE TOTAL CIF VALUE OF AUTHORISATION i.e. 691.38.25 &  US$  10836.68,21021020,E5,1,0.000,0.00,0310828159,"BISCUITS ADDITIVES & INGREDIENTS - E5, LEAVENING AGENT",
Leavening Agent :- i) Following biscuits additives & ingredients. (Sr. No 04 to 11) THE CIF VALUE OF IMPORT ITEM NO . 4 TO 11 SHALL NOT EXCEED 10% OF THE TOTAL CIF VALUE OF AUTHORISATION i.e. Rs. 642944.46 & US $ 9950.02,21021020,E5,1,0.000,0.00,0310828173,"BISCUITS ADDITIVES & INGREDIENTS - E5, LEAVENING AGENT",
LEAVENING AGENTS :- YEAST FOLLOWING BISCUIT ADDITIVES & INGREDIENTS FROM (Sr . No 04 to 11) CIF VALUE OF INPUT ITM SR.NO. 4 TO 11 TOGETHER  SHALL NOT EXCEED 10 % OF TOTAL CIF VALUE OF THE AUTHORISATION. i.e. RS.833282.00 & US$ 13010.99,21021020,E5,1,621.210,0.00,0310827361,LEAVENING AGENT,
ii) EMULSIFIER (GMS) THE CIF VALUE OF IMPORT ITEM NO. 4 TO 8 TOGETHER SHALL NOT EXCEED 10% OF TOTAL CIF VALUE OF THE AUTHORISATION.,29157030,E5,1,129.800,0.00,0310829966,EMULSIFIER - E5,
emulsifier/ stabilizer/ glazing agent/ binders/ thickners,28121060,E1,1,268.600,0.00,0310721349,EMULSIFIER - E1,
paper board (100 gsm to 150 gsm),48000000,E5,1,9166.730,0.00,0310741902,PAPER BOARD,
emulsifier/ stabilizer/ glazing agent/ binders/ thickners,33021010,E5,1,178.780,0.00,3010095675,EMULSIFIER - E5,
anti oxidant (citric acid),04000000,E5,1,17.870,0.00,3010095675,ANTI OXIDANT,
"cocoa, milk & milk products",18050000,E5,1,1609.030,0.00,3010095675,FRUIT/COCOA - E5,
packing material,48100000,E5,1,0.010,0.00,3010085529,PP,
paper & paper board (100 to 300 gsm),48100000,E5,1,635.330,0.00,3010085529,PAPER BOARD,
relevant fruit (juice/pulp/puree),20091100,E5,1,2952.000,0.00,3010095675,JUICE - E5,
citric acid/tartartic acid/malic acid (food grade relevant),29181400,E5,1,590.400,0.00,3010095675,,
relevant essential oils,33011200,E5,1,98.400,0.00,3010095675,ESSENTIAL OIL,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",15119020,E5,1,984.000,0.00,3010095675,RBD PALMOLEIN OIL,
Yeast -Following Biscuit Additives and Ingredients,21021020,E5,1,523.830,0.00,0311004132,LEAVENING AGENT,
DIETARY FIBRE (0802),23023000,E5,1,3928.750,0.00,0311004132,DIETARY FIBRE,
BEARING (ALL TYPES OTHER THAN ENGINE BEARING) SUCH AS BALL BEARING (NOS . 8536) / TAPER ROLLER BEARING (NOS . 776) / CYLINDRICAL / NEEDLE ROLLER BEARINGS (NOS.2716) DIA 10mm - 175mm HS CODE 8482 NET TO NET,84821020,C969,1,12028.000,0.00,3011000691,BEARING,
BALL BEARING (Nos 3520) TAPPER ROLLER BEARING (Nos 4800)NEEDLE ROLLER BEARING (Nos 4800) CYLINDER ROLLER BEARING (Nos 1600)Dia 10 mm -175 mm HS Code 8482 NET TO NET,84821020,C969,1,14720.000,0.00,3011000685,BEARING,
HOT ROLLED / COLD ROLLED STEEL (SHEETS/WIDE COILS),72091690,C969,1,112209.000,0.00,3011000691,"COLD ROLLED STEEL, HOT ROLLED STEEL",
"Other Confectionery ingredients -edible olasses,malt extracts, edible oils and fats, fruits and fruit products,nut and nut Products.",08023100,E1,1,8029.480,0.00,0311004194,OTHER CONFECTIONERY INGREDIENTS - E1,
"PACKING MATERIAL :- POLYPROPYLENE FILM GRADE , PAPER & PAPER BOARD , GSM (200 TO 350)(CTH 48101390)",39012000,E1,1,8430.950,0.00,0311004194,"PAPER BOARD, PP",
Dietary Fibre (HS CODE 0902),08023100,E5,1,4561.080,0.00,0311004327,DIETARY FIBRE,
"Packing Material :- Polypropylene Film Grade , Paper & Paper Board, GSM (200 To 350)(CTH 48101390) CUSTOM TO VERIFY ACTUAL IMPORT UTILISED BY THE FIRM IN EXPORT AT THE TIME OF ALLOWING IMPORT",39021000,E5,1,7657.190,0.00,0311004313,"PAPER BOARD, PP",
BALL BEARING (Nos 4545)/Taper (Nos 6060)/Cylindrical (Nos 909)/Needle Roller Bearings (Nos 909)HSN 8482 Dia 10 mm - 175 mm,84820000,C969,1,12423.000,0.00,3011000733,BEARING,
HOT ROLLED / COLD ROLLED STEEL (SHEETS/WIDE COILS),72090000,C969,1,260800.180,0.00,3011000733,"COLD ROLLED STEEL, HOT ROLLED STEEL",
Battery Automotive,85071000,C969,1,300.000,0.00,3011000786,AUTOMOTIVE BATTERY,
BALL BEARING (Nos. 4500) TAPPER ROLLER BEARING (Nos 6000) NEEDLE ROLLER BEARING (Nos. 900) CYLINDER ROLLER BEARING (Nos.900) Dia: 10mm-175mm HS CODE 8482 NET TO NET,84821020,C969,1,12300.000,0.00,3011000786,BEARING,
Relevant Fruit Juice/Pulp/Puree (HS Code:2009) or Milk & Milk Products (Qty -13189.64 Kgs) Milk Solids: HS Code 3502),20091100,E1,1,19784.460,0.00,0311004904,"FRUIT JUICE - E1, WPC - E1",
Relevant Fruit Juice/Pulp/Puree (HS Code:2009) or Milk & Milk Products (Qty -22851.3 Kgs) Milk Solids: HS Code 3502),20091100,E1,1,34276.690,0.00,0311004899,"FRUIT JUICE - E1, WPC - E1",
RELEVANT FRUIT JUICE/PULP/PUREE (HS CODE :2009) OR MILK & MILK PRODUCTS (QTY - 51595.61 KGS) MILK SOLIDS : HS CODE 3502),20091100,E1,1,77393.420,0.00,0311005034,"FRUIT JUICE - E1, WPC - E1",
"Ball Bearing qty 6556, Taper Roller Bearings qty 596, needle roller bearing qty 2086, DIA 10mm- 175mm HS code 8482 net to net",84820000,C969,1,9238.000,0.00,3011000849,BEARING,
"ALLOY STEEL RODS /ROUNDS/BILLETS OF CARBON CONTENT LESS THAN 2 PERCENT HS CODE 7228,7229",72280000,C969,1,174771.000,0.00,3011000849,ALLOY STEEL,
Ball Bearing (Nos 6600) / Taper (Nos 600) / Needle Roller Bearings (Nos 2100) Dia 10mm-175mm HSN 8482,84820000,C969,1,9300.000,0.00,3011000839,BEARING,
"ALLOY STEEL RODS /ROUNDS/BILLETS OF CARBON CONTENT LESS THAN 2 PERCENT HS CODE 7228,7229, 7214",72280000,C969,1,175944.000,0.00,3011000839,ALLOY STEEL,
LDPE,39011010,E5,1,12352.000,0.00,0311005134,LDPE,
"Paper & Paper Board , GSM (200 To 350)(CTH 48101390)",39012000,E5,1,5566.750,0.00,5611000372,PAPER BOARD,
emulsifier,38244090,E5,1,59.000,250.00,0311005261,EMULSIFIER - E5,
relevant food flavour,29124200,E5,1,949.000,650.00,0311005261,FOOD FLAVOUR - E5,
relevant food colour,32030020,E5,1,5.930,200.00,0311005261,FOOD COLOUR,
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29072900,E5,1,5.930,200.00,0311005261,ANTI OXIDANT,
bopp granules (12 to 15 gsm),39011090,E5,1,611.000,1.00,0311005261,"BOPP, PP",
Ball Bearing (Nos 4515) / Taper (Nos. 6020) / Cylindrical (Nos. 903) / Needle Roller Bearings (Nos.903) Dia 10mm-175mm hsn 8482 NET TO NET,84820000,C969,1,12341.000,0.00,3011000891,BEARING,
Ball Bearing Nos (4605) / Taper Nos (6140) / Cylindrical Nos (921) / Needle Roller Bearings Nos. (921) Dia 10mm-175mm hsn 8482 NET TO NET,84820000,C969,1,12587.000,0.00,3011000890,BEARING,
"Packing Material :- Polypropylene Film Grade , Aluminum foil CTH 76071190, Paper & Paper Board, GSM (200 To 350)(CTH 48101390)",39022000,E5,1,1522.500,0.00,0311005427,"ALUMINIUM FOIL, PAPER BOARD, PP",
"ALLOY STEEL RODS/ROUNDS/BILLETS OF CARBON CONTENTS LESS THAN 2 PERCENT HS CODE 7228, 7229, 7214",72280000,C969,1,479192.000,0.00,3011000891,ALLOY STEEL,
FRUIT & FRUIT PRODUCTS : - FRUIT FLAVOURS,08062090,E1,1,8552.290,0.00,0311005542,FOOD FLAVOUR - E1,
Ball Bearing Hsn 8482 (Qty 4440) Tapaer Roller Bearing 8482 (Qty 5920) Needle /Roller Bearings hsn 8482 (Qty 888) Cylindrical Bearing hsn 8482 (Qty 888) Dia 10mm-175mm,84820000,C969,1,12136.000,0.00,3011000940,BEARING,
Ball Bearing (Nos 2444) / Taper (Nos. 3196) / Cylindrical (Nos.188) / Needle /Roller Bearings (Nos 2444) Dia 10mm-175mm HSN 8482,84820000,C969,1,8272.000,0.00,3011000939,BEARING,
BALL BEARING (Nos 4710) TAPPER ROLLER BEARING (Nos 6280) NEEDLE /ROLLER BEARING (Nos 942) CYLINDER ROLLER BEARING (Nos 942) DIA 10MM-175MM HA Code 8482 net to net,84821020,C969,1,12874.000,0.00,3011000938,BEARING,
Bearing (All types other than Engine Bearing) such as Ball Bearing (Nos 6420) / Taper (Nos 8560)/ Cylindrical (Nos 1284) / Needle /Roller Bearings (Nos 1284) DIA 10MM-175MM HS code 8482 net to net,84821020,C969,1,17548.000,0.00,3011000944,BEARING,
hydrostatic unit/ valves for hydraulic transmission,84138190,C969,1,188.000,0.00,3011000939,HYDROSTATIC TRANSMISSION,
"CARBON CONTENTS LESS THAN 2 PERCENT HS CODE 72280000, 7229, 7214",72280000,C969,1,259491.680,0.00,3011000939,,
"Cold Rolled Steel (Sheets/ Wide Coils) HS 7209 , 7210",72091690,C969,1,270268.170,0.00,3011000938,COLD ROLLED STEEL,
Cold Rolled Steel (Sheets/ Wide Coils) HS CODE 72090000,72091690,C969,1,368391.010,0.00,3011000944,COLD ROLLED STEEL,
BALL BEARING (Nos 6644) TAPPER ROLLER BEARING (Nos 604) NEEDLE/ ROLLER BEARING (Nos 2114) dia 10mm-175mm hs code 8482 net to net,84821020,C969,1,9362.000,0.00,3011000957,BEARING,
Ball Bearing (Nos 6644) / Taper (Nos 604) / Needle /Roller Bearings (Nos 2114) DIA 10mm-175 mm HSN 8482,84820000,C969,1,9362.000,0.00,3011000965,BEARING,
BALL BEARING Nos 3965 TAPPER ROLLER BEARING Nos. 5185 NEEDLE/ ROLLER BEARING Nos 3965 CYLINDER ROLLER BEARING Nos 305 Dia 10 mm-175 mm-HS 8482 Net to net,84820000,C969,1,13420.000,0.00,3011000956,BEARING,
Ball Bearing (Nos 6226) / Taper (Nos 566) / Cylindrical/ Needle /Roller Bearings (Nos 1981) (Dia 10 mm-175 mm)-HS 8482),84820000,C969,1,8773.000,0.00,3011000961,BEARING,
Bearing (All types other than Engine Bearing) such as Ball Bearing Nos. 3887/ Taper Nos. 5083/ Cylindrical Nos 299/ Needle /Roller Bearings Nos 3887,84821020,C969,1,13156.000,0.00,3011000963,BEARING,
"ALLOY STEEL RODS/ROUNDS/BILLETS CARBON CONTENTS LESS THAN 2 PERCENT HS CODE 72280000, 7229, 7225",72280000,C969,1,177117.740,0.00,3011000965,ALLOY STEEL,
Cold Rolled Steel (Sheets/ Wide Coils) HS CODE 7210,72091690,C969,1,211528.600,0.00,3011000963,COLD ROLLED STEEL,
"b) Polypropylene Film Grade , Paper & Paper Board , GSM (200 To 350)(CTH 48101390)",39012000,E5,1,18525.570,0.00,0311006070,"PAPER BOARD, PP",
YEAST,21021020,E5,1,420.380,0.00,0311006106,LEAVENING AGENT,
STARCHES,11081200,E5,1,525.470,0.00,0311006106,"STARCH 1108, STARCH 3505",
"cocoa, milk & milk products",04041020,E1,1,0.010,0.00,0311006172,SWP,
BALL BEARING NOS (6578) / TAPER NOS (598) / NEEDLE ROLLER BEARINGS NOS (2093) (Dia 10 mm - 175 mm ) HS - 8482)net to net,84820000,C969,1,9269.000,0.00,3011001028,BEARING,
Leavening agent - Sodium Bicarbonate,19053219,E5,1,1526.120,0.00,1110028747,LEAVENING AGENT,
Emulsifier (Soya Lecithin),32000000,E5,1,381.530,0.00,1110028747,EMULSIFIER - E5,
(III) FOOD FLAVOUR (ETHYL VINILLIN),29124100,E5,1,6104.490,0.00,1110028747,FOOD FLAVOUR - E5,
food colour sunset yellow,32030000,E5,1,38.150,0.00,1110028747,FOOD COLOUR,
milk & milk products (whey powder),35022000,E5,1,26707.170,0.00,1110028747,,
BOPP/LDPE/HDPE/PP,39011090,E5,1,13148.840,0.00,1110028747,"BOPP, HDPE, LDPE",
PAPER & PAPER BOARD (GSM 200 +/- 10%),48100000,E5,1,13148.840,0.00,1110028747,PAPER BOARD,
Bearing (All types other than Engine Bearing) (I) ITC HS CODE TAPER BEARING ITC HS CODE 84822000 TAPER BEARING - 8175 NOS.(II) ITC HS CODE - 84825000 CYLINDRACAL BEARING -2180 NOS. (III) ITC HS CODE - 84823000 ROLLER BEARING - 1090 NOS (IV) ITC HS CODE -,84821020,C969,1,17440.000,0.00,1210008423,BEARING,
BEARING (ALL TYPES OTHER THAN ENGINE BEARING) SUCH AS BALL BEARING / TAPER  / CYLINDRICAL / NEEDLE ROLLER BEARING NET TO NET ITC HS : 8482/84822011/84821011/84821012/84829900/84821013/84821051/84822012,84823000,C969,1,15360.000,0.00,1210009448,BEARING,
BALL BEARING (NOS 4500)/TAPER(NOS 6000)/CYLINDRICAL(NOS  900)/NEEDLE ROLLER BEARINGS NOS (900) Dia 10 mm - 175 mm HSN 8482,84820000,C969,1,12300.000,0.00,3011001064,BEARING,
oil seals (other than engine),40169330,C969,1,6158.720,0.00,1210008789,"OIL SEAL, OIL SEALS",
"ALLOY STEEL RODS CARBON CONTENTS LESS THAN 2 PERCENT HS CODE 7228,7229,7214",72280000,C969,1,477600.000,0.00,3011001064,ALLOY STEEL,
relevant alloy steel rods,72286011,C969,1,463157.000,0.00,1210008423,ALLOY STEEL,
17019990,17019990,E5,1,11812.130,0.00,0311007217,,
rearwheel tyretube,40119900,C969,1,500.000,0.00,1210008443,REARWHEEL TYRE,
"Relevant Alloy Steel Rods/Rounds/Billets (ITC HS : 72283029,72282000,72283019) ALLOY STEEL RODS (SAE52100)=261561.300 kgs ALLOY STEEL ROUNDS (SAE52100)=163353.300 kgs",72284000,C969,1,424914.600,0.00,1210008443,ALLOY STEEL,
Relevant Hot Rolled/Cold Rolled Steel (Sheets/Wide Coils) (ITC HS: 72091590/7209/7208) HOT ROLLED (SHEETS/WIDE COILS)=199772.100 Kgs COLD ROLLED STEEL (SHEETS / WIDE COILS)=278386.350 Kgs,72092590,C969,1,478158.450,0.00,1210008443,"COLD ROLLED STEEL, HOT ROLLED STEEL",
EMULSIFIER / STABILIZING AGENT,15171021,E5,1,462.100,0.00,5610000774,EMULSIFIER - E5,
EMULSIFIER / STABILIZING AGENT,32000000,E5,1,373.060,0.00,5610000757,EMULSIFIER - E5,
milk & milk products,04031000,E5,1,18016.840,0.00,5610000026,,
"Chickpeas (07132090), Lentiles (07134000), Green Peas (07131020)",07131020,E132,1,414140.380,0.00,1311000658,CEREALS FLAKES,
Relevant Flavours-Natural Flavours like Cardamoms (0908) Chilli (0709) Cloves (0907) Black Pepper (0904) Asafoetida(1301) Citric Acid (2918) Ginger (0910) Tartaric Acid(2918) Cinnamon(0906) Fennel(0909) Nutmeg (0908),09083190,E132,1,41414.040,0.00,1311000658,FOOD FLAVOUR - E132,
"Packing Materials/ PP/HDPE/LDPE Paper & Paper Board (HSN Code 48080000), (39021000), 48081390 / Aluminium Foil (HSN Code 76070000)",39021000,E132,1,34511.700,0.00,1311000658,"ALUMINIUM FOIL, HDPE, LDPE, PAPER BOARD, PP",
"cocoa, milk & milk products",04041020,E5,1,18349.070,0.00,0811002951,SWP,
CANE SUGAR IMPORT OF LACTOSE/MANNITOL/SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AGAINST THIS IMPORT ITEMS.,17019990,E5,1,1013103.350,0.00,0310821169,SUGAR,
cane sugar fructose syrup,17019990,E5,1,1048489.940,0.00,0310827509,SUGAR,
Relevant Fruit Juice/Pulp/Puree (HS Code:2009),20083010,E1,1,28194.230,0.00,0311008507,FRUIT JUICE - E1,
BISCUIT ADDITIVES & INGREDIENTS :- LEAVENING AGENT CONDITION : CIF VALUE OF INPUT ITEM SR.NO. 4 TO 11 TOGETHER SHALL NOT EXCEED 10% OF TOTAL CIF VALUE OF THE AUTHORISATION.,21021000,E5,1,21265.340,0.00,0310821169,LEAVENING AGENT,
Relevant Food Grade:-Tartaric Acid/Citric acid,29181400,E1,1,5638.850,0.00,0311008507,CITRIC ACID / TARTARIC ACID - E1,
RELEVANT FRUIT FLAVOUR,17029040,E1,1,18.800,0.00,0311008507,FRUIT JUICE - E1,
RELEVANT FRUIT FLAVOUR,09083110,E1,1,187.960,0.00,0311008507,FRUIT JUICE - E1,
starch,11081100,E1,1,187.960,0.00,0311008507,"STARCH 1108, STARCH 3505",
"Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products tea extracts coffee extracts edible desiccated coconut ( HS Code-0802)",08022200,E1,1,7611.740,0.00,0311008560,OTHER CONFECTIONERY INGREDIENTS - E1,
PALMOLEIN OIL,15119020,E5,1,114411.240,0.00,0311008621,RBD PALMOLEIN OIL,
Emulsifier (Soya Lecithin),38244090,E5,1,635.620,0.00,0311008621,EMULSIFIER - E5,
FOOD FLAVOUR,29124200,E5,1,10169.890,0.00,0311008621,FOOD FLAVOUR - E5,
BOPP PRINTED WRAPPER,39011090,E5,1,6550.760,0.00,0311008621,"BOPP, PP",
CANE SUGAR?,17011490,E5,1,34910.820,0.00,0311008749,SUGAR,
LDPE,39012000,E5,1,19366.140,0.00,0311008749,LDPE,
PALM OIL / GROUNDNUT OIL FATS /FRYING FAT (OLIVE OIL IS NOT PERMITTED),15119020,E132,1,61899.280,0.00,0311008874,RBD PALMOLEIN OIL,
"BUTYLATED HYDROXYNANISOLE (BHA), TERTIARY BUTYL HYDRO - QUNONE (TBHQ),METHYL CELLULOSE ,CARBOXY METHYL CELLULOSE , GELLAN GUM",39139090,E132,1,2210.690,0.00,0311008874,RELEVANT ADDITIVES DESCRIPTION,
"MINT,GINGER,BLACK PEPPER,CARDAMOMS,CURCUMINE,TURMERIC,ASAFOETIDA,CINNAMON,CLOVES,CUMINS,NUTMEG,FENNEL",09083110,E132,1,13264.130,0.00,0311008874,,
"Packing Material :- Polypropylene Film Grade , Aluminum foil CTH 76071190, Paper & Paper Board, GSM (200 To 350)(CTH 48101390)",39021000,E132,1,11053.440,0.00,0311008874,"ALUMINIUM FOIL, PAPER BOARD, PP",
WHEAT BRAN,11082000,E5,1,4837.000,0.00,0311009007,STARCH 1108,
PAPER & PAPER BOARD 50-150 GSM,48101990,E5,1,8102.410,0.00,0311009007,PAPER BOARD,
CANE SUGAR (REFINED WHITE SUGAR),17019990,E1,1,103460.700,146870.76,0310828182,SUGAR,
"Lactose,Fructos/Maltose/Mannitol/Sodim Saccharin/ Artificial Sweeting agent are not allowed Refined Cane Sugar",17019990,E1,1,135409.500,0.00,0310831830,SUGAR,
"RELEVANT ESSENTIAL OILS (ORANGE OIL) THE CIF VALUE OF IMPORT ITEM NO.5,6,7 SHALL NOT EXCEED 5% OF THE TOTAL CIF VALUE OF AUTHORISATION .i.e. RS.495467.00 & US$7343.54",33011200,E1,1,862.170,0.01,0310828182,ESSENTIAL OIL,
"RELEVANT ESSENTIAL OILS (ORANGE OIL) THE CIF VALUE OF IMPORT ITEM NO.5,6,7 SHALL NOT EXCEED 5% OF THE TOTAL CIF VALUE OF AUTHORISATION .i.e. RS.416650.00 & US& 6410.00",33011200,E1,1,867.990,6410.00,0310828186,ESSENTIAL OIL,
Emulsifier (Items as per PFA Act 1955):- Lacithin THE CIF VALUE OF IMPORT ITEM NO.8 SHALL NOT EXCEED 3% OF THE TOTAL CIF VALUE OF AUTHORISATION RS. 297280.21 & US& 4406.12,29232010,E1,1,172.430,0.01,0310828182,EMULSIFIER - E1,
Emulsifier (Items as per PFA Act 1955):- Lacithin THE CIF VALUE OF IMPORT ITEM NO.8 SHALL NOT EXCEED 3% OF THE TOTAL CIF VALUE OF AUTHORISATION .I.E. RS. 249990.00 & US& 3846.00,29232010,E1,1,173.600,3846.00,0310828186,EMULSIFIER - E1,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccated coconut(Edible Oil)THE CIF VALUE INPUT ITEM SR.NO.8 SHALL NOT EXCEED",15119010,E1,1,12104.600,3710.71,0310831827,OTHER CONFECTIONERY INGREDIENTS - E1,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, edible desiccate coconut",12101000,E1,1,319883.900,0.00,0310825235,OTHER CONFECTIONERY INGREDIENTS - E1,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",21010000,E1,1,93167.230,0.00,0310825251,OTHER CONFECTIONERY INGREDIENTS - E1,
bopp granules (12 to 15 gsm),38202090,E1,1,5242.560,0.00,0310828186,"BOPP, PP",
CANE SUGAR IMPORT OF LACTOSE/MANNITOL/SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AGAINST THIS IMPORT ITEMS.,17041190,E1,1,123244.900,182852.72,0310828181,SUGAR,
relevant fruit (juice/pulp/puree),20083010,E1,1,30811.250,0.01,0310828181,FRUIT JUICE - E1,
"i)RELEVANT ESSENTIAL OILS (ORANGE OIL)THE CIF VALUE OF IMPORT ITEM SR.NO.5,6,7, SHALL NOT EXCEED 5% OF TOTAL CIF RS. 451825.68 & US$ 7114.63",33011200,E1,1,1027.040,0.01,0310828181,ESSENTIAL OIL,
"EMULSIFIER (ITEMS AS PER PFA ACT 1955)(LACITHIN)THE CIF VALUE SHALL NOT EXCEED 3% OF THE TOTAL CIF VALUE OF AUTHORISATION. I.E. RS.271095.40 , US$ 4304.78",29232010,E1,1,205.400,0.01,0310828181,EMULSIFIER - E1,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",15119010,E1,1,10270.410,0.01,0310828181,OTHER CONFECTIONERY INGREDIENTS - E1,
Fruit Juice/Pulp/Puree,20091100,E1,1,46525.950,0.00,0311009150,FRUIT JUICE - E1,
PAPER BOARD (GSM 230+/-10),48101990,E5,1,6847.140,0.00,0311009354,PAPER BOARD,
HDEP,39012000,E5,1,18382.220,0.00,0311009354,HDPE,
LDEP,39011010,E5,1,18382.220,0.00,0311009354,LDPE,
Packing Materials Paper & Paper Board GSM (200 to 350) (CTH 48101390)),48101990,E5,1,10054.000,0.00,5611000702,"PAPER BOARD, PP",
"b) Polypropylene Film Grade , Paper & Paper Board , GSM (200 To 350)(CTH 48101390)",48101990,E5,1,12050.310,0.00,5611000700,"PAPER BOARD, PP",
"BALL BEARING Nos. 6600, TAPPER ROLLER BEARING Nos. 600, NEEDLE ROLLER BEARING Nos. 2100 , Dia: 10mm-175mm HS CODE 8482 NET TO NET",84821020,C969,1,9300.000,0.00,3011000356,BEARING,
"Chickpeas (07132090), Lentiles (07134000), Green Peas (07131020)",07130000,E132,1,560824.730,0.00,0511001077,CEREALS FLAKES,
Relevant Food Additives as Approved by FSSAI- Tertiary Butyl Hydro-qunone (TBHQ,13023100,E132,1,11221.860,0.00,0511007299,FOOD ADDITIVES TBHQ - E132,
"Relevant Food Additives as Approved by FSSAI-Tocopherol, Lecithin, Butylated Hydroxynanisole (BHA), Tertiary Butyl Hydro-qunone (TBHQ), Methyl Cellolose, Carboxy Methyl Cellulose, Gellan Gun.",13023100,E132,1,6825.250,0.00,0511007564,"FOOD ADDITIVES TBHQ - E132, RELEVANT ADDITIVES DESCRIPTION",
